name,address,lat,lon
,1739 PERTH RD MOORESVILLE NC 28117,35.63516,-80.88547
,589 BRAWLEY SCHOOL RD MOORESVILLE NC 28117,35.58413,-80.87291
,1538 TABOR RD HARMONY NC 28634,35.9954,-80.80875
,305 PERRY RD TROUTMAN NC 28166,35.70047,-80.87972
,335 TAYLOR SPRINGS RD UNION GROVE NC 28689,36.01614,-80.9699
,645 OLIN RD OLIN NC 28660,35.95189,-80.84069
,4634 WILKESBORO HWY STATESVILLE NC 28625,35.95591,-80.95451
,133 WARRIOR DR STATESVILLE NC 28625,35.78892,-80.99155
,1947 E BROAD ST STATESVILLE NC 28677,35.79183,-80.84924
,1026 DAVIE AVE STATESVILLE NC 28677,35.7954,-80.8719
,579 WEATHERS CREEK RD TROUTMAN NC 28166,35.67217,-80.8123
,964 COCHRAN ST STATESVILLE NC 28677,35.77441,-80.90034
,1206 MUSEUM RD STATESVILLE NC 28677,35.80668,-80.89206
,334 N OAKLAND AVE STATESVILLE NC 28677,35.78592,-80.90595
,1115 SALISBURY RD STATESVILLE NC 28677,35.77495,-80.86186
,3351 HARMONY HWY HARMONY NC 28634,35.95703,-80.7721
,1994 W MEMORIAL HWY UNION GROVE NC 28689,36.02685,-80.8693
,109 CHAPEL HILL LN STATESVILLE NC 28677,35.75611,-80.81252
,1518 BRAWLEY SCHOOL RD MOORESVILLE NC 28117,35.5558,-80.92427
,571 JENNINGS RD STATESVILLE NC 28625,35.87217,-80.87224
,1577 MECKLENBURG HWY MOORESVILLE NC 28115,35.53973,-80.84721
,607 BETHLEHEM RD STATESVILLE NC 28677,35.75538,-80.97208
,454 FIELDSTONE RD MOORESVILLE NC 28115,35.5689,-80.79837
,525 S BROAD ST MOORESVILLE NC 28115,35.57557,-80.82294
,220 N MAPLE ST MOORESVILLE NC 28115,35.58225,-80.80728
,687 BRAWLEY SCHOOL RD MOORESVILLE NC 28117,35.58045,-80.87868
,3867 TAYLORSVILLE HWY STATESVILLE NC 28625,35.8163,-80.97005
,585 MOCKSVILLE HWY STATESVILLE NC 28625,35.80819,-80.80833
,1902 MOCKSVILLE HWY CLEVELAND NC 27013,35.8425,-80.73352
